#Fri Nov  8 19:02:09 2024
# Copy file into sbs-onl@sbsvtp#:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV               24              11               0               0
              80          -29.09           9.343
              81          -42.16           7.941
              82           -21.5           9.466
              83           7.567           7.257
              84          -24.76           8.265
              85          -13.08           7.794
              86           3.983           7.299
              87           59.97           7.599
              88          -43.86           8.014
              89          -19.14           7.834
              90           18.73           7.493
              91           39.19            7.84
              92          -45.22           7.294
              93          -14.88           9.249
              94           12.17           7.734
              95           68.77           9.563
              96          -23.38           8.624
              97          -17.86           7.898
              98          0.1133           9.809
              99           23.32           9.322
             100          -23.82           9.128
             101          -10.93           7.691
             102            21.3           9.408
             103            27.7           8.535
             104           -47.3           8.679
             105          -3.753           7.958
             106          -11.66           8.803
             107           50.11           8.996
             108          -39.95           8.581
             109            1.45           7.774
             110           33.94           9.176
             111           97.28           10.34
             112          -30.84            8.69
             113          -13.62           7.256
             114           -4.36           8.614
             115           16.84           7.302
             116          -62.34           8.156
             117          -23.68           7.586
             118            5.73            8.33
             119           54.64           7.232
             120          -31.15           7.542
             121          -17.53           7.328
             122           -1.71           7.445
             123           58.55           8.399
             124          -30.68           7.553
             125          -19.86           11.47
             126           35.69           7.636
             127           115.7           10.15
APV               24              11               0               7
               0           79.78           34.12
               1          -11.38           28.81
               2          -18.61           28.69
               3            6.47           25.51
               4          -167.9           14.76
               5          -44.02           9.545
               6          -25.19           10.68
               7           30.69           9.863
               8          -54.14           8.673
               9           -42.9           11.95
              10           3.953           7.994
              11           55.31           10.08
              12          -43.98           9.206
