#Sun Feb  9 11:36:29 2025
# Copy file into sbs-onl@sbsvtp#:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV               58              11               0               0
              66           1.925           11.55
              67          0.5442           9.047
              68          -2.524           8.608
              69          -2.265           8.292
              70          0.8231           10.39
              71          -2.109           8.874
              72          -3.599            8.11
              73         -0.3401           6.375
              74           2.442           9.541
              75         -0.4558           8.802
              76          -3.048           9.324
              77           1.816           7.363
              78        -0.08844            9.26
              79           1.075           9.797
              80           1.204           8.587
              81           0.932           6.942
              82          0.7551           9.749
              83         -0.2721            6.87
              84          0.5238           8.163
              85         -0.2041           7.285
              86           1.524           8.598
              87           2.143           7.876
              88         -0.6803            7.29
              89          -1.524           8.316
              90         -0.5374           7.274
              91           4.082           7.366
              92          0.7279           7.201
              93          -2.415           10.14
              94        -0.07483           6.267
              95           1.054           9.833
              96          0.1293           8.206
              97          -1.898           7.171
              98           1.639           11.18
              99         -0.6395           10.76
             100          -3.143            8.75
             101          -1.626           8.021
             102         -0.2449           9.346
             103           2.327           8.062
             104           2.551           8.908
             105           3.578           7.961
             106           -1.17            8.94
             107        -0.09524            9.32
             108          -1.952           8.114
             109              -1           8.567
             110          -1.408           8.911
             111           1.082            10.1
             112         -0.3061           8.655
             113           0.483           8.752
             114         -0.3469           8.979
             115            3.34            6.86
             116          -1.327           7.684
             117          0.4082           7.225
             118        -0.01361            8.12
             119         -0.3197             7.7
             120          -2.578           8.043
             121          -1.061           8.722
             122            2.15           6.921
             123            2.34               8
             124          -1.306           7.643
             125          0.6054           12.34
             126         -0.2449           6.961
             127          -0.966           11.01
APV               58              11               0               4
               0           14.63           27.22
               1           10.13           25.29
               2           2.966           22.68
               3            2.98           22.57
               4            1.49           9.477
               5          -2.054           8.531
               6           1.265           11.54
               7          0.8299           8.762
               8          0.4286           8.326
               9          -1.741           7.338
              10           1.143           7.889
              11            1.17           8.826
              12          -2.619           9.182
              13          -1.034           7.536
              14         -0.8367           7.202
              15           1.912            8.48
              16          0.6054           8.379
              17        -0.07483           6.814
              18          -1.789            13.8
              19           1.537           8.451
              20         -0.5578           8.046
              21         -0.7415           7.004
              22          -3.265            9.27
              23          0.4082           6.957
              24          -1.748           7.998
              25           -1.15           7.027
              26            1.32           7.877
              27         -0.7143           7.817
              28          -1.435           7.398
              29          -3.429           8.237
              30           1.476            7.88
              31          0.7755            7.57
              32         -0.5714           8.384
              33          0.1156           8.117
              34         -0.3469            7.84
              35           1.932           7.954
              36        -0.01361           7.565
              37          0.1156            8.07
              38          0.3878           9.032
              39           2.952           7.582
              40          -0.932           8.461
              41          -1.912           7.727
              42           2.898           9.438
              43           1.912            8.71
              44         -0.9252           8.607
              45         -0.1361           8.306
              46           1.898           7.917
              47         -0.1293           8.954
              48          -1.612           9.527
              49          -1.469           7.277
              50          -2.878           11.15
              51          -2.503           7.293
              52          -2.483           7.327
              53          -2.905           7.727
              54         -0.6735           8.059
              55           2.306           6.952
              56          -1.163           8.005
              57          -1.748           7.318
              58               1           7.673
              59         -0.6735           7.537
              60         -0.5646           7.082
              61          -1.483           8.358
              62           -1.19           6.389
              63           -1.02           9.564
              64          -2.395           7.641
              65          -2.857           7.363
              66           1.565           10.68
              67          0.6259           8.479
              68          0.3537           7.823
              69         -0.9864           7.478
              70           1.279           10.23
              71            3.49           8.991
              72          -3.429           8.597
              73         -0.5918           7.575
              74            2.15           9.054
              75           3.054           9.476
              76          -3.524           8.335
              77          0.5714           8.284
              78           1.027           7.469
              79           1.531           9.535
              80          -1.578            8.31
              81        -0.03401           7.669
              82          -0.449           11.02
              83           2.558           6.641
              84           1.041           9.032
              85         -0.1497           6.481
              86         -0.4422            7.87
              87           1.619           7.108
              88          -2.109           7.638
              89          -5.374            7.58
              90         -0.2721           7.569
              91           1.075           7.799
              92          -1.551           6.723
              93          -2.095            8.81
              94          0.1973           6.819
              95          0.2313           8.896
              96           -1.85           7.915
              97           -2.19           7.862
              98           3.429           10.71
              99          -1.735           9.293
             100          -1.551           7.583
             101         -0.4422           7.326
             102           2.156           9.125
             103           1.544            8.25
             104         -0.8299           8.842
             105           1.388           8.305
             106            2.68           7.836
             107          0.1973           9.688
             108          -3.102           7.799
             109            1.32           7.932
             110           4.122           7.984
             111               1           9.897
             112         -0.2585           8.183
             113          -0.449           6.917
             114           1.762            8.63
             115           2.136           7.562
             116          -1.932           7.619
             117          -1.449           6.368
             118           0.619           7.534
             119         -0.4762           7.489
             120           -1.85           7.651
             121          -2.884           7.486
             122         -0.9388           6.837
             123          -1.469           7.108
             124           -2.02           6.371
             125          -2.605            10.9
             126        0.006803           7.196
             127           1.578           10.06
APV               58              11               0               5
               0            9.17           28.67
               1           10.21           27.33
               2           2.265           24.52
               3           3.796           23.82
               4           1.136           10.13
               5          -2.626           8.573
               6          0.3061           11.65
               7          0.2177            9.64
               8          -1.238           7.413
               9          -2.912           7.521
              10          0.2653           8.941
              11            1.34           8.593
              12          -1.694           9.957
              13          -1.245           7.815
              14          0.5102           9.283
              15          -2.034           8.266
              16          0.1565           8.773
              17          -2.109           7.296
              18          -1.354           14.78
              19          -1.558           7.558
              20         -0.3197           8.176
              21          -3.469           7.573
              22           -1.83           8.763
              23           1.905           6.811
              24         0.07483           7.641
              25          -4.095           6.889
              26          0.3197           7.801
              27         -0.7891           7.236
              28          -1.211           6.902
              29          0.1701           8.854
              30           1.388           8.026
              31           1.129           8.908
              32           -3.15           9.271
              33           -1.98           7.999
              34           1.469           8.498
              35           1.816           9.245
              36          -2.299           7.808
              37         -0.2109           7.801
              38           3.537           8.443
              39          0.1565           8.854
              40          -2.456           7.807
              41           1.034           7.582
              42           1.497           9.868
              43          0.4014           8.564
              44          -2.088           8.535
              45           1.782           8.332
              46         -0.2721           8.234
              47         -0.8299           9.427
              48          -2.925           8.467
              49          0.3197           6.998
              50          -1.483           11.17
              51          0.5578           6.632
              52           -1.98           8.105
              53          -3.204           6.946
